m=1000 n=1000 k=1000
Testing file ran 10 times
Single Precision
QR Reference: 4.1628289222717285e-01
QR New: 3.6185789108276367e-01
QL AOCL: 4.1857099533081055e-01
QL Reference: 4.1900110244750977e-01
QL New: 3.6488699913024902e-01
RQ AOCL: 4.6639490127563477e-01
RQ Reference: 4.6739387512207031e-01
RQ New: 4.2860102653503418e-01
LQ AOCL: 4.6125912666320801e-01
LQ Reference: 4.6423602104187012e-01
LQ New: 4.2536401748657227e-01
Single Precision
QR AOCL: 4.8451900482177734e-02
QR Reference: 4.8977851867675781e-02
QR New: 5.6596994400024414e-02
QL AOCL: 4.8326969146728516e-02
QL Reference: 4.9473047256469727e-02
QL New: 5.6646108627319336e-02
RQ AOCL: 7.0094108581542969e-02
RQ Reference: 7.2087049484252930e-02
RQ New: 6.1080217361450195e-02
LQ AOCL: 6.8892955780029297e-02
LQ Reference: 7.5181961059570312e-02
LQ New: 6.2258958816528320e-02
Double Precision
QR AOCL: 9.2426061630249023e-02
QR Reference: 9.2794895172119141e-02
QR New: 9.7913026809692383e-02
QL AOCL: 9.4003915786743164e-02
QL Reference: 9.4614982604980469e-02
QL New: 9.7558975219726562e-02
RQ AOCL: 1.2026000022888184e-01
RQ Reference: 1.2169289588928223e-01
RQ New: 1.1438012123107910e-01
LQ AOCL: 1.2192082405090332e-01
LQ Reference: 1.3143301010131836e-01
LQ New: 1.1452913284301758e-01
Single Complex Precision
QR AOCL: 2.1778297424316406e-01
QR Reference: 2.1183013916015625e-01
QR New: 1.9433093070983887e-01
QL AOCL: 2.1744108200073242e-01
QL Reference: 2.0981693267822266e-01
QL New: 1.9399690628051758e-01
RQ AOCL: 2.2296810150146484e-01
RQ Reference: 2.2313308715820312e-01
RQ New: 2.1148800849914551e-01
LQ AOCL: 2.2072410583496094e-01
LQ Reference: 2.2234797477722168e-01
LQ New: 2.1121191978454590e-01
Double Complex Precision
QR AOCL: 4.6413397789001465e-01
QR Reference: 4.2769598960876465e-01
QR New: 3.6540198326110840e-01
QL AOCL: 4.2053198814392090e-01
QL Reference: 4.2174696922302246e-01
QL New: 3.8819885253906250e-01
RQ AOCL: 4.6595382690429688e-01
RQ Reference: 4.6811008453369141e-01
RQ New: 4.2753005027770996e-01
LQ AOCL: 4.6351194381713867e-01
LQ Reference: 4.6565198898315430e-01
LQ New: 4.2670202255249023e-01
Single Precision
QR AOCL: 4.8235893249511719e-02
QR Reference: 4.8806905746459961e-02
QR New: 5.8537960052490234e-02
QL AOCL: 4.8522949218750000e-02
QL Reference: 4.9424171447753906e-02
QL New: 5.6565999984741211e-02
RQ AOCL: 6.9751024246215820e-02
RQ Reference: 7.0133924484252930e-02
RQ New: 6.2602996826171875e-02
LQ AOCL: 7.0359945297241211e-02
LQ Reference: 7.6392889022827148e-02
LQ New: 6.0956001281738281e-02
Double Precision
QR AOCL: 9.8497867584228516e-02
QR Reference: 1.0668301582336426e-01
QR New: 9.8120927810668945e-02
QL AOCL: 9.3003034591674805e-02
QL Reference: 9.4060897827148438e-02
QL New: 9.7747087478637695e-02
RQ AOCL: 1.2156891822814941e-01
RQ Reference: 1.2249112129211426e-01
RQ New: 1.1395502090454102e-01
LQ AOCL: 1.2061977386474609e-01
LQ Reference: 1.3147711753845215e-01
LQ New: 1.1317610740661621e-01
Single Complex Precision
QR AOCL: 2.0312809944152832e-01
QR Reference: 2.0434808731079102e-01
QR New: 1.9195294380187988e-01
QL AOCL: 2.0604991912841797e-01
QL Reference: 2.0699620246887207e-01
QL New: 1.9152712821960449e-01
RQ AOCL: 2.2094798088073730e-01
RQ Reference: 2.2154498100280762e-01
RQ New: 2.1201205253601074e-01
LQ AOCL: 2.1983885765075684e-01
LQ Reference: 2.2112798690795898e-01
LQ New: 2.1041297912597656e-01
Double Complex Precision
QR AOCL: 4.1671109199523926e-01
QR Reference: 4.1754293441772461e-01
QR New: 3.6615490913391113e-01
QL AOCL: 4.1897201538085938e-01
QL Reference: 4.2093086242675781e-01
QL New: 3.6662197113037109e-01
RQ AOCL: 4.6678686141967773e-01
RQ Reference: 4.7058391571044922e-01
RQ New: 4.3018102645874023e-01
LQ AOCL: 4.6299600601196289e-01
LQ Reference: 4.6513414382934570e-01
LQ New: 4.2688179016113281e-01
Single Precision
QR AOCL: 4.8138141632080078e-02
QR Reference: 4.8569917678833008e-02
QR New: 5.6685209274291992e-02
QL AOCL: 4.8381090164184570e-02
QL Reference: 4.9391031265258789e-02
QL New: 5.6618928909301758e-02
RQ AOCL: 6.9864034652709961e-02
RQ Reference: 7.0888996124267578e-02
RQ New: 6.2822103500366211e-02
LQ AOCL: 6.8566083908081055e-02
LQ Reference: 7.5466156005859375e-02
LQ New: 6.1944961547851562e-02
Double Precision
QR AOCL: 9.3116998672485352e-02
QR Reference: 9.3384027481079102e-02
QR New: 9.7604990005493164e-02
QL AOCL: 9.3214035034179688e-02
QL Reference: 9.3996047973632812e-02
QL New: 9.7671031951904297e-02
RQ AOCL: 1.2142491340637207e-01
RQ Reference: 1.2284278869628906e-01
RQ New: 1.1516213417053223e-01
LQ AOCL: 1.2100696563720703e-01
LQ Reference: 1.3129591941833496e-01
LQ New: 1.1358022689819336e-01
Single Complex Precision
